basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
51,2026.03.20 16:02:42,EURUSD,SELL,impulse,29.28,0.00073,4.214286,60.0193,0.5456,6,16,8.52,1,-0.00001,10.01,0,1,-4.99,3,winner,0
52,2026.03.23 07:36:43,EURUSD,SELL,pullback_trend,28.44,0.00048,-0.342466,1.7272,1.7087,6,7,-0.84,2,0.00002,10.01,0,1,-2.41,3,winner,0
53,2026.03.23 15:38:31,EURUSD,BUY,expansion,24.90,0.00101,1.104167,13.0879,2.585,6,15,-3.54,1,-0.00007,10.01,0,1,-4.06,3,winner,0
54,2026.03.23 22:05:01,EURUSD,BUY,pullback_trend,29.55,0.00013,-0.871287,12.1932,5.9726,7,22,4.65,2,-0.00003,-25.04,1,0,-25.04,5,steamroller_bsl,1
55,2026.03.24 17:55:39,EURUSD,SELL,impulse,14.34,0.00063,3.846154,39.4907,0.5165,6,17,-15.21,1,-0.00007,10.03,0,1,-13.57,5,winner,0
56,2026.03.25 14:52:05,EURUSD,SELL,grind,25.36,0.00065,0.031746,24.5935,0.9443,6,14,11.02,2,0.00003,10.01,0,1,-0.26,1,winner,0
57,2026.03.30 11:26:26,EURUSD,SELL,compression,16.17,0.00032,-0.507692,2.1454,1.3815,6,11,-9.19,3,0.00000,10.12,0,1,-0.78,2,winner,0
58,2026.03.30 16:47:39,EURUSD,SELL,rotation,21.16,0.00037,0.15625,14.8656,4.0926,6,16,4.99,4,0.00003,-25.22,1,0,-25.22,5,steamroller_bsl,1
59,2026.03.31 14:56:21,EURUSD,BUY,expansion,24.90,0.00078,1.108108,20.1489,2.7512,6,14,3.74,1,-0.00001,10.01,0,1,-0.47,1,winner,0
60,2026.04.01 16:11:30,EURUSD,BUY,compression,22.66,0.00044,-0.435897,1.2579,1.0316,6,16,-2.24,2,-0.00001,-25.06,1,0,-25.06,5,steamroller_bsl,1
61,2026.04.02 06:46:37,EURUSD,SELL,liquidity_vacuum,25.98,0.00047,0.068182,9.1121,3.9611,6,6,3.32,1,0.00002,10.03,0,1,-11.72,5,winner,0
62,2026.04.03 20:09:36,EURUSD,SELL,pullback_trend,29.18,0.00005,-0.893617,11.0043,13.2172,5,20,3.2,2,-0.00001,-25.04,1,0,-25.04,5,steamroller_bsl,1
63,2026.04.06 09:54:38,EURUSD,BUY,impulse,13.31,0.00026,4.2,44.2725,5.4902,6,9,-15.87,1,0.00003,10.04,0,1,-4.91,5,winner,0
64,2026.04.06 17:32:13,EURUSD,SELL,grind,22.51,0.00034,0.307692,22.183,0.0245,6,17,9.2,1,0.00001,-25.03,1,0,-25.03,3,steamroller_bsl,1
65,2026.04.08 02:24:27,EURUSD,BUY,liquidity_vacuum,21.48,0.00052,0.529412,7.6463,5.8086,6,2,-1.03,1,-0.00003,10.03,0,1,-2.72,2,winner,0
66,2026.04.09 19:55:47,EURUSD,BUY,pullback_trend,28.66,0.00029,-0.442308,16.0084,1.3934,6,19,7.18,2,-0.00000,10.02,0,1,-8.34,4,winner,0
67,2026.04.10 14:54:38,EURUSD,BUY,expansion,28.34,0.00048,0.655172,8.9196,2.2714,6,14,-0.32,3,-0.00003,10.02,0,1,-17.66,5,winner,0
68,2026.04.14 01:53:33,EURUSD,BUY,liquidity_vacuum,12.68,0.00022,-0.541667,3.1127,3.6506,6,1,-15.66,4,-0.00001,10.00,0,1,-1.16,3,winner,0
69,2026.04.14 14:07:29,EURUSD,BUY,impulse,21.03,0.00043,0.954545,29.088,1.3703,6,14,8.35,5,-0.00001,10.00,0,1,-7.90,5,winner,0
70,2026.04.17 14:36:39,EURUSD,BUY,rotation,18.24,0.00070,0.627907,9.8334,1.8175,6,14,-2.79,6,0.00000,-28.47,1,0,-28.63,4,steamroller_bsl,1
71,2026.04.19 23:05:38,EURUSD,SELL,impulse,29.96,0.00037,-0.471429,25.8618,6.4871,6,23,11.72,1,0.00003,10.30,0,1,-20.10,5,winner,0
72,2026.04.21 19:11:40,EURUSD,SELL,rotation,17.27,0.00045,0.216216,3.5481,1.1439,6,19,-12.69,2,0.00004,10.00,0,1,-2.90,2,winner,0
73,2026.04.23 00:19:15,EURUSD,SELL,liquidity_vacuum,24.90,0.00018,-0.6,18.5789,2.4758,6,0,7.63,3,-0.00008,10.08,0,1,-2.22,5,winner,0
74,2026.04.23 11:47:00,EURUSD,SELL,pullback_trend,27.19,0.00028,0.555556,13.7078,3.0888,6,11,2.29,4,-0.00000,10.01,0,1,-12.49,5,winner,0
75,2026.04.23 18:17:15,EURUSD,SELL,expansion,28.93,0.00073,1.607143,22.7295,0.3122,6,18,1.74,5,0.00006,10.19,0,1,-15.10,5,winner,0
76,2026.04.28 08:06:41,EURUSD,SELL,compression,17.70,0.00035,-0.520548,4.2741,1.8963,6,8,-11.23,6,-0.00002,10.01,0,1,-3.51,3,winner,0
77,2026.04.29 21:00:08,EURUSD,SELL,liquidity_vacuum,9.71,0.00024,-0.314286,4.2061,1.2243,25,21,-7.99,7,0.00002,-25.24,1,0,-25.24,5,steamroller_bsl,1
78,2026.05.01 13:45:37,EURUSD,BUY,impulse,25.33,0.00037,0.541667,38.066,1.6372,6,13,15.62,1,-0.00003,-25.03,1,0,-25.03,5,steamroller_bsl,1
79,2026.05.04 13:32:05,EURUSD,SELL,grind,23.22,0.00039,0.054054,1.6169,0.7054,6,13,-2.11,1,0.00001,-25.02,1,0,-25.02,5,steamroller_bsl,1
80,2026.05.08 14:09:37,EURUSD,BUY,rotation,20.85,0.00049,0.25641,3.6418,1.5108,6,14,-2.37,1,-0.00001,10.02,0,1,-3.58,5,winner,0
81,2026.05.11 11:55:13,EURUSD,BUY,compression,18.35,0.00021,-0.571429,1.1403,0.5614,6,11,-2.5,2,-0.00001,-25.04,1,0,-25.04,5,steamroller_bsl,1
82,2026.05.13 12:05:00,EURUSD,SELL,pullback_trend,29.49,0.00022,0.047619,23.8143,0.6323,6,12,11.14,1,0.00003,10.06,0,1,-1.46,3,winner,0
